genome	main_cluster	gnm_id	completeness	contamination	heterogeneity
GCA_003281605.1_ASM328160v1_genomic	55	GCA_003281605.1_ASM328160v1_genomic	93.75	0.00	0.00
GCA_902576415.1_AG-426-D16_genomic	56	GCA_902576415.1_AG-426-D16_genomic	78.94	0.00	0.00
GCA_002025865.1_ASM202586v1_genomic	57	GCA_002025865.1_ASM202586v1_genomic	86.55	1.36	40.00
GCA_902558895.1_AG-905-G05_genomic	58	GCA_902558895.1_AG-905-G05_genomic	67.90	0.00	0.00
GCA_003281405.1_ASM328140v1_genomic	59	GCA_003281405.1_ASM328140v1_genomic	94.47	0.00	0.00
GCA_000759955.1_ASM75995v1_genomic	60	GCA_000759955.1_ASM75995v1_genomic	100.00	0.00	0.00
GCA_902534685.1_AG-349-A23_genomic	61	GCA_902534685.1_AG-349-A23_genomic	50.95	0.00	0.00
GCA_902542595.1_AG-359-L20_genomic	62	GCA_902542595.1_AG-359-L20_genomic	56.59	0.00	0.00
GCA_003281585.1_ASM328158v1_genomic	63	GCA_003281585.1_ASM328158v1_genomic	86.96	0.27	0.00
GCA_902525075.1_AG-895-M21_genomic	64	GCA_902525075.1_AG-895-M21_genomic	82.20	0.54	0.00
GCA_003278945.1_ASM327894v1_genomic	65	GCA_003278945.1_ASM327894v1_genomic	53.12	0.00	0.00
GCA_003209375.1_ASM320937v1_genomic	66	GCA_003209375.1_ASM320937v1_genomic	76.81	0.00	0.00
GCA_902618265.1_AG-892-J05_genomic	67	GCA_902618265.1_AG-892-J05_genomic	75.62	0.27	0.00
GCA_902611225.1_AG-918-B19_genomic	68	GCA_902611225.1_AG-918-B19_genomic	66.37	0.00	0.00
GCA_902525125.1_AG-895-M18_genomic	69	GCA_902525125.1_AG-895-M18_genomic	81.70	0.00	0.00
GCA_003216415.1_ASM321641v1_genomic	70	GCA_003216415.1_ASM321641v1_genomic	92.80	0.00	0.00
GCA_902600475.1_AG-917-B09_genomic	71	GCA_902600475.1_AG-917-B09_genomic	83.33	0.54	0.00
GCA_902535175.1_AG-349-C13_genomic	72	GCA_902535175.1_AG-349-C13_genomic	84.51	0.00	0.00
GCA_902573045.1_AG-422-I13_genomic	73	GCA_902573045.1_AG-422-I13_genomic	50.71	0.14	100.00
GCA_002026185.1_ASM202618v1_genomic	74	GCA_002026185.1_ASM202618v1_genomic	65.85	1.45	44.44
GCA_902539115.1_AG-349-P01_genomic	75	GCA_902539115.1_AG-349-P01_genomic	74.17	0.00	0.00
GCA_902571595.1_AG-422-D11_genomic	76	GCA_902571595.1_AG-422-D11_genomic	61.04	0.05	0.00
GCA_003281125.1_ASM328112v1_genomic	77	GCA_003281125.1_ASM328112v1_genomic	64.40	0.27	100.00
GCA_902581715.1_AG-911-P21_genomic	78	GCA_902581715.1_AG-911-P21_genomic	69.75	0.00	0.00
GCA_902573565.1_AG-422-K10_genomic	79	GCA_902573565.1_AG-422-K10_genomic	90.85	0.00	0.00
GCA_902572915.1_AG-422-I06_genomic	80	GCA_902572915.1_AG-422-I06_genomic	63.86	0.27	0.00
GCA_003212035.1_ASM321203v1_genomic	81	GCA_003212035.1_ASM321203v1_genomic	70.79	0.82	100.00
GCA_003214415.1_ASM321441v1_genomic	82	GCA_003214415.1_ASM321441v1_genomic	63.50	0.00	0.00
GCA_003278705.1_ASM327870v1_genomic	83	GCA_003278705.1_ASM327870v1_genomic	87.41	0.00	0.00
GCA_000635535.1_De_novo_assembly_of_single-cell_genomes_genomic	84	GCA_000635535.1_De_novo_assembly_of_single-cell_genomes_genomic	58.92	1.22	0.00
GCA_902573845.1_AG-422-K18_genomic	85	GCA_902573845.1_AG-422-K18_genomic	51.95	0.27	0.00
GCA_902595175.1_AG-915-N17_genomic	86	GCA_902595175.1_AG-915-N17_genomic	70.29	0.00	0.00
GCA_902527105.1_AG-896-E23_genomic	87	GCA_902527105.1_AG-896-E23_genomic	89.95	0.00	0.00
GCA_003214055.1_ASM321405v1_genomic	88	GCA_003214055.1_ASM321405v1_genomic	76.77	0.00	0.00
GCA_003281225.1_ASM328122v1_genomic	89	GCA_003281225.1_ASM328122v1_genomic	95.24	0.00	0.00
GCA_902525905.1_AG-895-P19_genomic	90	GCA_902525905.1_AG-895-P19_genomic	60.34	0.00	0.00
GCA_003212755.1_ASM321275v1_genomic	91	GCA_003212755.1_ASM321275v1_genomic	85.46	0.00	0.00
GCA_902564235.1_AG-907-L10_genomic	92	GCA_902564235.1_AG-907-L10_genomic	68.80	0.00	0.00
GCA_003214295.1_ASM321429v1_genomic	93	GCA_003214295.1_ASM321429v1_genomic	84.89	1.36	100.00
GCA_003279015.1_ASM327901v1_genomic	94	GCA_003279015.1_ASM327901v1_genomic	93.75	0.00	0.00
GCA_003281415.1_ASM328141v1_genomic	95	GCA_003281415.1_ASM328141v1_genomic	76.13	0.00	0.00
GCA_003209415.1_ASM320941v1_genomic	96	GCA_003209415.1_ASM320941v1_genomic	66.03	0.54	100.00
GCA_902519915.1_AG-894-I06_genomic	97	GCA_902519915.1_AG-894-I06_genomic	92.92	0.27	0.00
GCA_003281315.1_ASM328131v1_genomic	98	GCA_003281315.1_ASM328131v1_genomic	90.49	0.27	0.00
GCA_002025965.1_ASM202596v1_genomic	99	GCA_002025965.1_ASM202596v1_genomic	58.68	2.74	57.14
GCA_003278855.1_ASM327885v1_genomic	100	GCA_003278855.1_ASM327885v1_genomic	89.58	0.00	0.00
GCA_902522795.1_AG-895-D05_genomic	101	GCA_902522795.1_AG-895-D05_genomic	91.49	0.00	0.00
GCA_003280915.1_ASM328091v1_genomic	102	GCA_003280915.1_ASM328091v1_genomic	94.02	0.00	0.00
GCA_003214315.1_ASM321431v1_genomic	103	GCA_003214315.1_ASM321431v1_genomic	93.93	0.00	0.00
GCA_003213275.1_ASM321327v1_genomic	104	GCA_003213275.1_ASM321327v1_genomic	67.10	0.00	0.00
GCA_902534675.1_AG-349-A19_genomic	105	GCA_902534675.1_AG-349-A19_genomic	59.10	0.00	0.00
GCA_003281185.1_ASM328118v1_genomic	106	GCA_003281185.1_ASM328118v1_genomic	84.38	0.00	0.00
GCA_003214335.1_ASM321433v1_genomic	107	GCA_003214335.1_ASM321433v1_genomic	52.47	0.82	0.00
GCA_002025975.1_ASM202597v1_genomic	108	GCA_002025975.1_ASM202597v1_genomic	71.88	1.36	50.00
GCA_003281635.1_ASM328163v1_genomic	109	GCA_003281635.1_ASM328163v1_genomic	79.98	0.27	0.00
GCA_002026005.1_ASM202600v1_genomic	110	GCA_002026005.1_ASM202600v1_genomic	83.42	2.72	78.57
GCA_902591685.1_AG-914-N20_genomic	111	GCA_902591685.1_AG-914-N20_genomic	51.31	0.27	0.00
GCA_902519235.1_AG-894-F05_genomic	112	GCA_902519235.1_AG-894-F05_genomic	68.73	0.00	0.00
GCA_902538515.1_AG-349-N10_genomic	113	GCA_902538515.1_AG-349-N10_genomic	75.84	0.00	0.00
GCA_003210155.1_ASM321015v1_genomic	114	GCA_003210155.1_ASM321015v1_genomic	91.30	0.00	0.00
GCA_902618335.1_AG-892-J18_genomic	115	GCA_902618335.1_AG-892-J18_genomic	63.00	0.00	0.00
GCA_902571795.1_AG-422-D21_genomic	116	GCA_902571795.1_AG-422-D21_genomic	73.18	0.45	100.00
GCA_003281645.1_ASM328164v1_genomic	117	GCA_003281645.1_ASM328164v1_genomic	89.40	0.00	0.00
GCA_902535025.1_AG-349-B16_genomic	118	GCA_902535025.1_AG-349-B16_genomic	66.53	0.27	0.00
GCA_902611725.1_AG-891-B08_genomic	119	GCA_902611725.1_AG-891-B08_genomic	62.23	0.00	0.00
GCA_000158595.1_ASM15859v1_genomic	120	GCA_000158595.1_ASM15859v1_genomic	98.78	0.27	0.00
GCA_902626435.1_AH-321-C15_genomic	121	GCA_902626435.1_AH-321-C15_genomic	67.93	0.00	0.00
GCA_000634815.1_De_novo_assembly_of_single-cell_genomes_genomic	122	GCA_000634815.1_De_novo_assembly_of_single-cell_genomes_genomic	85.55	0.14	0.00
GCA_902536455.1_AG-349-G11_genomic	123	GCA_902536455.1_AG-349-G11_genomic	65.76	0.27	0.00
GCA_003280895.1_ASM328089v1_genomic	124	GCA_003280895.1_ASM328089v1_genomic	81.16	0.27	100.00
GCA_003280885.1_ASM328088v1_genomic	125	GCA_003280885.1_ASM328088v1_genomic	71.95	0.27	100.00
GCA_003216915.1_ASM321691v1_genomic	126	GCA_003216915.1_ASM321691v1_genomic	92.53	0.54	0.00
GCA_902606255.1_AG-461-O03_genomic	127	GCA_902606255.1_AG-461-O03_genomic	54.89	0.00	0.00
GCA_003216615.1_ASM321661v1_genomic	128	GCA_003216615.1_ASM321661v1_genomic	97.28	0.00	0.00
GCA_902525585.1_AG-895-O22_genomic	129	GCA_902525585.1_AG-895-O22_genomic	71.47	0.27	0.00
GCA_902616595.1_AG-892-C17_genomic	130	GCA_902616595.1_AG-892-C17_genomic	78.12	0.27	0.00
GCA_003214975.1_ASM321497v1_genomic	131	GCA_003214975.1_ASM321497v1_genomic	73.91	0.00	0.00
GCA_902606505.1_AG-461-P02_genomic	132	GCA_902606505.1_AG-461-P02_genomic	76.95	0.00	0.00
GCA_003281205.1_ASM328120v1_genomic	133	GCA_003281205.1_ASM328120v1_genomic	91.53	0.00	0.00
GCA_902590355.1_AG-914-D09_genomic	134	GCA_902590355.1_AG-914-D09_genomic	56.07	0.00	0.00
GCA_003281145.1_ASM328114v1_genomic	135	GCA_003281145.1_ASM328114v1_genomic	87.77	0.00	0.00
GCA_003281285.1_ASM328128v1_genomic	136	GCA_003281285.1_ASM328128v1_genomic	56.90	0.00	0.00
GCA_003278045.1_ASM327804v1_genomic	137	GCA_003278045.1_ASM327804v1_genomic	80.21	0.00	0.00
GCA_003281705.1_ASM328170v1_genomic	138	GCA_003281705.1_ASM328170v1_genomic	75.07	0.27	0.00
GCA_003278545.1_ASM327854v1_genomic	139	GCA_003278545.1_ASM327854v1_genomic	96.33	0.00	0.00
GCA_003280725.1_ASM328072v1_genomic	140	GCA_003280725.1_ASM328072v1_genomic	80.66	0.41	0.00
GCA_902600395.1_AG-453-N17_genomic	141	GCA_902600395.1_AG-453-N17_genomic	50.77	0.00	0.00
GCA_902522905.1_AG-895-D03_genomic	142	GCA_902522905.1_AG-895-D03_genomic	71.60	0.00	0.00
GCA_003213875.1_ASM321387v1_genomic	143	GCA_003213875.1_ASM321387v1_genomic	77.94	0.27	0.00
GCA_902574425.1_AG-422-M23_genomic	144	GCA_902574425.1_AG-422-M23_genomic	64.09	0.00	0.00
GCA_902581165.1_AG-426-N14_genomic	145	GCA_902581165.1_AG-426-N14_genomic	73.69	0.00	0.00
GCA_902536545.1_AG-349-G16_genomic	146	GCA_902536545.1_AG-349-G16_genomic	72.28	0.00	0.00
GCA_902615165.1_AG-891-O02_genomic	147	GCA_902615165.1_AG-891-O02_genomic	54.08	0.00	0.00
GCA_003278845.1_ASM327884v1_genomic	148	GCA_003278845.1_ASM327884v1_genomic	86.91	0.00	0.00
GCA_902571145.1_AG-909-I11_genomic	149	GCA_902571145.1_AG-909-I11_genomic	51.49	0.00	0.00
GCA_003281165.1_ASM328116v1_genomic	150	GCA_003281165.1_ASM328116v1_genomic	85.78	0.00	0.00
GCA_902536775.1_AG-349-I11_genomic	151	GCA_902536775.1_AG-349-I11_genomic	71.06	0.00	0.00
GCA_902583265.1_AG-912-J14_genomic	152	GCA_902583265.1_AG-912-J14_genomic	62.14	0.00	0.00
GCA_000634195.1_De_novo_assembly_of_single-cell_genomes_genomic	153	GCA_000634195.1_De_novo_assembly_of_single-cell_genomes_genomic	79.89	0.27	0.00
GCA_003281715.1_ASM328171v1_genomic	154	GCA_003281715.1_ASM328171v1_genomic	74.67	0.14	0.00
GCA_003281255.1_ASM328125v1_genomic	155	GCA_003281255.1_ASM328125v1_genomic	94.20	0.00	0.00
GCA_000759975.1_ASM75997v1_genomic	156	GCA_000759975.1_ASM75997v1_genomic	99.18	0.27	0.00
GCA_902591865.1_AG-914-N13_genomic	157	GCA_902591865.1_AG-914-N13_genomic	66.85	0.00	0.00
GCA_003209565.1_ASM320956v1_genomic	158	GCA_003209565.1_ASM320956v1_genomic	77.45	0.14	100.00
GCA_003214175.1_ASM321417v1_genomic	159	GCA_003214175.1_ASM321417v1_genomic	92.66	0.00	0.00
GCA_003212655.1_ASM321265v1_genomic	160	GCA_003212655.1_ASM321265v1_genomic	75.41	0.00	0.00
GCA_902571165.1_AG-422-C03_genomic	161	GCA_902571165.1_AG-422-C03_genomic	61.13	0.00	0.00
GCA_902626525.1_AH-321-C14_genomic	162	GCA_902626525.1_AH-321-C14_genomic	92.93	0.00	0.00
GCA_003210135.1_ASM321013v1_genomic	163	GCA_003210135.1_ASM321013v1_genomic	89.56	0.00	0.00
GCA_902573685.1_AG-422-K13_genomic	164	GCA_902573685.1_AG-422-K13_genomic	81.25	0.00	0.00
GCA_003214215.1_ASM321421v1_genomic	165	GCA_003214215.1_ASM321421v1_genomic	72.54	0.27	100.00
GCA_000018065.1_ASM1806v1_genomic	166	GCA_000018065.1_ASM1806v1_genomic	99.73	0.27	0.00
GCA_003281385.1_ASM328138v1_genomic	167	GCA_003281385.1_ASM328138v1_genomic	91.53	0.00	0.00
GCA_003216775.1_ASM321677v1_genomic	168	GCA_003216775.1_ASM321677v1_genomic	98.10	0.27	0.00
GCA_003278895.1_ASM327889v1_genomic	169	GCA_003278895.1_ASM327889v1_genomic	82.52	0.27	0.00
GCA_003278765.1_ASM327876v1_genomic	170	GCA_003278765.1_ASM327876v1_genomic	84.83	0.41	66.67
GCA_001180285.1_CLC_assembled_contigs_genomic	171	GCA_001180285.1_CLC_assembled_contigs_genomic	82.38	0.56	33.33
GCA_003280515.1_ASM328051v1_genomic	172	GCA_003280515.1_ASM328051v1_genomic	88.68	0.00	0.00
GCA_902618795.1_AG-892-L04_genomic	173	GCA_902618795.1_AG-892-L04_genomic	68.39	0.00	0.00
GCA_902537445.1_AG-349-K10_genomic	174	GCA_902537445.1_AG-349-K10_genomic	71.06	0.00	0.00
GCA_902591275.1_AG-439-O21_genomic	175	GCA_902591275.1_AG-439-O21_genomic	68.89	0.00	0.00
GCA_003213255.1_ASM321325v1_genomic	176	GCA_003213255.1_ASM321325v1_genomic	73.83	0.00	0.00
GCA_000760115.1_ASM76011v1_genomic	177	GCA_000760115.1_ASM76011v1_genomic	99.91	0.00	0.00
GCA_003279945.1_ASM327994v1_genomic	178	GCA_003279945.1_ASM327994v1_genomic	91.21	0.27	0.00
GCA_000015645.1_ASM1564v1_genomic	179	GCA_000015645.1_ASM1564v1_genomic	99.64	0.00	0.00
GCA_003279045.1_ASM327904v1_genomic	180	GCA_003279045.1_ASM327904v1_genomic	61.94	0.00	0.00
GCA_902565305.1_AG-907-P15_genomic	181	GCA_902565305.1_AG-907-P15_genomic	73.64	0.00	0.00
GCA_003213235.1_ASM321323v1_genomic	182	GCA_003213235.1_ASM321323v1_genomic	88.62	0.00	0.00
GCA_902621675.1_AG-893-G11_genomic	183	GCA_902621675.1_AG-893-G11_genomic	69.70	0.00	0.00
GCA_003211415.1_ASM321141v1_genomic	184	GCA_003211415.1_ASM321141v1_genomic	71.83	0.27	0.00
GCA_003214075.1_ASM321407v1_genomic	185	GCA_003214075.1_ASM321407v1_genomic	69.70	0.00	0.00
GCA_003216755.1_ASM321675v1_genomic	186	GCA_003216755.1_ASM321675v1_genomic	86.19	0.00	0.00
GCA_003216795.1_ASM321679v1_genomic	187	GCA_003216795.1_ASM321679v1_genomic	89.18	0.00	0.00
GCA_003213815.1_ASM321381v1_genomic	188	GCA_003213815.1_ASM321381v1_genomic	89.40	0.00	0.00
GCA_003212195.1_ASM321219v1_genomic	189	GCA_003212195.1_ASM321219v1_genomic	61.25	0.00	0.00
GCA_902622625.1_AG-893-K23_genomic	190	GCA_902622625.1_AG-893-K23_genomic	83.51	0.09	0.00
GCA_003280985.1_ASM328098v1_genomic	191	GCA_003280985.1_ASM328098v1_genomic	70.43	0.27	100.00
GCA_003281335.1_ASM328133v1_genomic	192	GCA_003281335.1_ASM328133v1_genomic	92.07	0.00	0.00
GCA_902596585.1_AG-916-B09_genomic	193	GCA_902596585.1_AG-916-B09_genomic	66.12	0.27	0.00
GCA_902572825.1_AG-422-G21_genomic	194	GCA_902572825.1_AG-422-G21_genomic	76.42	0.54	0.00
GCA_000757845.1_ASM75784v1_genomic	195	GCA_000757845.1_ASM75784v1_genomic	99.73	0.00	0.00
GCA_000759885.1_ASM75988v1_genomic	196	GCA_000759885.1_ASM75988v1_genomic	99.46	0.00	0.00
GCA_000634875.1_De_novo_assembly_of_single-cell_genomes_genomic	197	GCA_000634875.1_De_novo_assembly_of_single-cell_genomes_genomic	62.77	0.82	33.33
GCA_003278965.1_ASM327896v1_genomic	198	GCA_003278965.1_ASM327896v1_genomic	79.17	0.00	0.00
GCA_902578845.1_AG-911-E06_genomic	199	GCA_902578845.1_AG-911-E06_genomic	53.31	0.00	0.00
GCA_902588025.1_AG-435-M14_genomic	200	GCA_902588025.1_AG-435-M14_genomic	77.13	0.27	0.00
GCA_003214195.1_ASM321419v1_genomic	201	GCA_003214195.1_ASM321419v1_genomic	70.20	0.00	0.00
GCA_003279845.1_ASM327984v1_genomic	202	GCA_003279845.1_ASM327984v1_genomic	87.05	0.27	0.00
GCA_003214955.1_ASM321495v1_genomic	203	GCA_003214955.1_ASM321495v1_genomic	78.12	0.27	0.00
GCA_001180305.1_CLC_assembled_contigs_genomic	204	GCA_001180305.1_CLC_assembled_contigs_genomic	86.05	0.54	0.00
GCA_003209425.1_ASM320942v1_genomic	205	GCA_003209425.1_ASM320942v1_genomic	66.94	0.27	0.00
GCA_003209475.1_ASM320947v1_genomic	206	GCA_003209475.1_ASM320947v1_genomic	69.57	0.00	0.00
GCA_003281565.1_ASM328156v1_genomic	207	GCA_003281565.1_ASM328156v1_genomic	64.31	0.00	0.00
GCA_902616385.1_AG-919-J11_genomic	208	GCA_902616385.1_AG-919-J11_genomic	93.66	0.00	0.00
GCA_003212615.1_ASM321261v1_genomic	209	GCA_003212615.1_ASM321261v1_genomic	63.68	0.27	0.00
GCA_902570735.1_AG-422-A17_genomic	210	GCA_902570735.1_AG-422-A17_genomic	57.39	0.00	0.00
GCA_003214115.1_ASM321411v1_genomic	211	GCA_003214115.1_ASM321411v1_genomic	67.16	0.00	0.00
GCA_001180265.1_CLC_assembled_contigs_genomic	212	GCA_001180265.1_CLC_assembled_contigs_genomic	82.32	0.27	0.00
GCA_003280995.1_ASM328099v1_genomic	213	GCA_003280995.1_ASM328099v1_genomic	92.03	0.00	0.00
GCA_003278955.1_ASM327895v1_genomic	214	GCA_003278955.1_ASM327895v1_genomic	85.64	0.00	0.00
GCA_002025945.1_ASM202594v1_genomic	215	GCA_002025945.1_ASM202594v1_genomic	84.36	0.68	0.00
GCA_003209675.1_ASM320967v1_genomic	216	GCA_003209675.1_ASM320967v1_genomic	92.12	0.00	0.00
GCA_003212115.1_ASM321211v1_genomic	217	GCA_003212115.1_ASM321211v1_genomic	56.21	0.00	0.00
GCA_003217005.1_ASM321700v1_genomic	218	GCA_003217005.1_ASM321700v1_genomic	71.56	0.27	100.00
GCA_902518475.1_AG-894-C11_genomic	219	GCA_902518475.1_AG-894-C11_genomic	82.88	0.00	0.00
GCA_003281685.1_ASM328168v1_genomic	220	GCA_003281685.1_ASM328168v1_genomic	90.22	0.00	0.00
GCA_902623705.1_AG-893-O07_genomic	221	GCA_902623705.1_AG-893-O07_genomic	60.45	0.41	50.00
GCA_003281455.1_ASM328145v1_genomic	222	GCA_003281455.1_ASM328145v1_genomic	92.84	0.00	0.00
GCA_003281365.1_ASM328136v1_genomic	223	GCA_003281365.1_ASM328136v1_genomic	93.93	0.00	0.00
GCA_003214085.1_ASM321408v1_genomic	224	GCA_003214085.1_ASM321408v1_genomic	83.29	0.00	0.00
GCA_003278925.1_ASM327892v1_genomic	225	GCA_003278925.1_ASM327892v1_genomic	93.80	0.00	0.00
GCA_003279535.1_ASM327953v1_genomic	226	GCA_003279535.1_ASM327953v1_genomic	84.01	0.00	0.00
GCA_002026205.1_ASM202620v1_genomic	227	GCA_002026205.1_ASM202620v1_genomic	89.91	2.01	57.14
GCA_902535555.1_AG-349-D14_genomic	228	GCA_902535555.1_AG-349-D14_genomic	74.82	0.00	0.00
GCA_003209585.1_ASM320958v1_genomic	229	GCA_003209585.1_ASM320958v1_genomic	85.28	0.36	33.33
GCA_902602145.1_AG-917-I07_genomic	230	GCA_902602145.1_AG-917-I07_genomic	57.34	0.54	100.00
GCA_003216535.1_ASM321653v1_genomic	231	GCA_003216535.1_ASM321653v1_genomic	95.15	0.27	0.00
GCA_003213375.1_ASM321337v1_genomic	232	GCA_003213375.1_ASM321337v1_genomic	62.65	0.00	0.00
GCA_003213855.1_ASM321385v1_genomic	233	GCA_003213855.1_ASM321385v1_genomic	79.48	0.00	0.00
GCA_003211955.1_ASM321195v1_genomic	234	GCA_003211955.1_ASM321195v1_genomic	74.05	0.27	0.00
GCA_902565665.1_AG-908-A22_genomic	235	GCA_902565665.1_AG-908-A22_genomic	62.18	0.27	0.00
GCA_003279085.1_ASM327908v1_genomic	236	GCA_003279085.1_ASM327908v1_genomic	95.03	0.00	0.00
GCA_902536555.1_AG-349-G15_genomic	237	GCA_902536555.1_AG-349-G15_genomic	54.76	0.00	0.00
GCA_003212055.1_ASM321205v1_genomic	238	GCA_003212055.1_ASM321205v1_genomic	57.49	0.27	100.00
GCA_001180325.1_CLC_assembled_contigs_genomic	239	GCA_001180325.1_CLC_assembled_contigs_genomic	86.46	0.09	0.00
GCA_003281625.1_ASM328162v1_genomic	240	GCA_003281625.1_ASM328162v1_genomic	90.04	0.00	0.00
GCA_000634415.1_De_novo_assembly_of_single-cell_genomes_genomic	241	GCA_000634415.1_De_novo_assembly_of_single-cell_genomes_genomic	65.49	0.36	100.00
GCA_003278875.1_ASM327887v1_genomic	242	GCA_003278875.1_ASM327887v1_genomic	81.95	0.00	0.00
GCA_902561185.1_AG-907-A17_genomic	243	GCA_902561185.1_AG-907-A17_genomic	53.71	0.00	0.00
GCA_003281525.1_ASM328152v1_genomic	244	GCA_003281525.1_ASM328152v1_genomic	86.85	0.00	0.00
GCA_000634455.1_De_novo_assembly_of_single-cell_genomes_genomic	245	GCA_000634455.1_De_novo_assembly_of_single-cell_genomes_genomic	83.70	0.54	50.00
GCA_003278525.1_ASM327852v1_genomic	246	GCA_003278525.1_ASM327852v1_genomic	91.85	0.00	0.00
GCA_003213795.1_ASM321379v1_genomic	247	GCA_003213795.1_ASM321379v1_genomic	83.02	0.27	0.00
GCA_902519155.1_AG-894-F13_genomic	248	GCA_902519155.1_AG-894-F13_genomic	56.90	0.00	0.00
GCA_902535185.1_AG-349-C08_genomic	249	GCA_902535185.1_AG-349-C08_genomic	60.52	0.00	0.00
GCA_902536725.1_AG-349-G23_genomic	250	GCA_902536725.1_AG-349-G23_genomic	90.68	0.00	0.00
GCA_003212395.1_ASM321239v1_genomic	251	GCA_003212395.1_ASM321239v1_genomic	93.75	0.00	0.00
GCA_902622705.1_AG-893-L03_genomic	252	GCA_902622705.1_AG-893-L03_genomic	79.12	0.00	0.00
GCA_003211395.1_ASM321139v1_genomic	253	GCA_003211395.1_ASM321139v1_genomic	53.68	0.00	0.00
GCA_003279055.1_ASM327905v1_genomic	254	GCA_003279055.1_ASM327905v1_genomic	93.21	0.00	0.00
GCA_002026085.1_ASM202608v1_genomic	255	GCA_002026085.1_ASM202608v1_genomic	60.65	2.58	50.00
